stormID,name,numPositions,year,month_formed
AL011851,UNNAMED,14,1851,6
AL021851,UNNAMED,1,1851,7
AL031851,UNNAMED,1,1851,7
AL041851,UNNAMED,49,1851,8
AL051851,UNNAMED,16,1851,9
AL061851,UNNAMED,17,1851,10
AL011852,UNNAMED,45,1852,8
AL021852,UNNAMED,8,1852,9
AL031852,UNNAMED,20,1852,9
AL041852,UNNAMED,36,1852,9
AL051852,UNNAMED,25,1852,10
AL011853,UNNAMED,1,1853,8
AL021853,UNNAMED,1,1853,8
AL031853,UNNAMED,48,1853,8
AL041853,UNNAMED,12,1853,9
AL051853,UNNAMED,1,1853,9
AL061853,UNNAMED,22,1853,9
AL071853,UNNAMED,1,1853,9
AL081853,UNNAMED,14,1853,10
AL011854,UNNAMED,11,1854,6
AL021854,UNNAMED,1,1854,8
AL031854,UNNAMED,25,1854,9
AL041854,UNNAMED,11,1854,9
AL051854,UNNAMED,12,1854,10
AL011855,UNNAMED,1,1855,8
AL021855,UNNAMED,6,1855,8
AL031855,UNNAMED,1,1855,8
AL041855,UNNAMED,16,1855,8
AL051855,UNNAMED,11,1855,9
AL011856,UNNAMED,14,1856,8
AL021856,UNNAMED,8,1856,8
AL031856,UNNAMED,12,1856,8
AL041856,UNNAMED,1,1856,8
AL051856,UNNAMED,40,1856,8
AL061856,UNNAMED,20,1856,9
AL011857,UNNAMED,8,1857,6
AL021857,UNNAMED,47,1857,9
AL031857,UNNAMED,20,1857,9
AL041857,UNNAMED,29,1857,9
AL011858,UNNAMED,1,1858,6
AL021858,UNNAMED,1,1858,8
AL031858,UNNAMED,16,1858,9
AL041858,UNNAMED,32,1858,9
AL051858,UNNAMED,14,1858,9
AL061858,UNNAMED,22,1858,10
AL011859,UNNAMED,1,1859,7
AL021859,UNNAMED,12,1859,8
AL031859,UNNAMED,6,1859,9
AL041859,UNNAMED,7,1859,9
AL051859,UNNAMED,16,1859,9
AL061859,UNNAMED,20,1859,10
AL071859,UNNAMED,11,1859,10
AL081859,UNNAMED,24,1859,10
AL011860,UNNAMED,35,1860,8
AL021860,UNNAMED,12,1860,8
AL041860,UNNAMED,23,1860,9
AL031860,UNNAMED,1,1860,9
AL051860,UNNAMED,16,1860,9
AL061860,UNNAMED,17,1860,9
AL071860,UNNAMED,18,1860,10
AL011861,UNNAMED,28,1861,7
AL021861,UNNAMED,18,1861,8
AL031861,UNNAMED,24,1861,8
AL041861,UNNAMED,1,1861,9
AL051861,UNNAMED,7,1861,9
AL061861,UNNAMED,16,1861,10
AL071861,UNNAMED,1,1861,10
AL081861,UNNAMED,15,1861,11
AL011862,UNNAMED,12,1862,6
AL021862,UNNAMED,13,1862,8
AL031862,UNNAMED,34,1862,9
AL041862,UNNAMED,1,1862,10
AL051862,UNNAMED,14,1862,10
AL061862,UNNAMED,14,1862,11
AL011863,UNNAMED,8,1863,8
AL021863,UNNAMED,8,1863,8
AL031863,UNNAMED,18,1863,8
AL041863,UNNAMED,8,1863,8
AL051863,UNNAMED,32,1863,9
AL061863,UNNAMED,15,1863,9
AL071863,UNNAMED,6,1863,9
AL081863,UNNAMED,4,1863,9
AL091863,UNNAMED,12,1863,9
AL011864,UNNAMED,12,1864,7
AL021864,UNNAMED,1,1864,7
AL031864,UNNAMED,26,1864,8
AL041864,UNNAMED,16,1864,9
AL051864,UNNAMED,12,1864,10
AL011865,UNNAMED,1,1865,5
AL021865,UNNAMED,1,1865,6
AL031865,UNNAMED,20,1865,8
AL041865,UNNAMED,37,1865,9
AL051865,UNNAMED,1,1865,9
AL061865,UNNAMED,1,1865,9
AL071865,UNNAMED,34,1865,10
AL011866,UNNAMED,19,1866,7
AL021866,UNNAMED,22,1866,8
AL031866,UNNAMED,14,1866,9
AL041866,UNNAMED,1,1866,9
AL051866,UNNAMED,12,1866,9
AL061866,UNNAMED,48,1866,9
AL071866,UNNAMED,7,1866,10
AL011867,UNNAMED,11,1867,6
AL021867,UNNAMED,28,1867,7
AL031867,UNNAMED,1,1867,8
AL041867,UNNAMED,16,1867,8
AL051867,UNNAMED,1,1867,9
AL061867,UNNAMED,10,1867,9
AL071867,UNNAMED,34,1867,10
AL081867,UNNAMED,1,1867,10
AL091867,UNNAMED,17,1867,10
AL011868,UNNAMED,18,1868,9
AL021868,UNNAMED,29,1868,10
AL031868,UNNAMED,12,1868,10
AL041868,UNNAMED,12,1868,10
AL011869,UNNAMED,4,1869,8
AL021869,UNNAMED,9,1869,8
AL031869,UNNAMED,4,1869,8
AL041869,UNNAMED,8,1869,9
AL051869,UNNAMED,9,1869,9
AL061869,UNNAMED,12,1869,9
AL071869,UNNAMED,32,1869,9
AL081869,UNNAMED,1,1869,9
AL091869,UNNAMED,1,1869,10
AL101869,UNNAMED,10,1869,10
AL011870,UNNAMED,1,1870,7
AL021870,UNNAMED,24,1870,8
AL031870,UNNAMED,16,1870,9
AL041870,UNNAMED,20,1870,9
AL051870,UNNAMED,16,1870,9
AL061870,UNNAMED,40,1870,10
AL071870,UNNAMED,1,1870,10
AL081870,UNNAMED,6,1870,10
AL091870,UNNAMED,18,1870,10
AL101870,UNNAMED,1,1870,10
AL111870,UNNAMED,20,1870,10
AL011871,UNNAMED,21,1871,6
AL021871,UNNAMED,13,1871,6
AL031871,UNNAMED,41,1871,8
AL041871,UNNAMED,57,1871,8
AL051871,UNNAMED,16,1871,8
AL061871,UNNAMED,17,1871,9
AL071871,UNNAMED,33,1871,9
AL081871,UNNAMED,14,1871,10
AL011872,UNNAMED,22,1872,7
AL021872,UNNAMED,56,1872,8
AL031872,UNNAMED,48,1872,9
AL041872,UNNAMED,28,1872,9
AL051872,UNNAMED,28,1872,10
AL011873,UNNAMED,8,1873,6
AL021873,UNNAMED,64,1873,8
AL031873,UNNAMED,13,1873,9
AL041873,UNNAMED,13,1873,9
AL051873,UNNAMED,59,1873,9
AL011874,UNNAMED,15,1874,7
AL021874,UNNAMED,20,1874,8
AL031874,UNNAMED,42,1874,8
AL041874,UNNAMED,24,1874,9
AL051874,UNNAMED,16,1874,9
AL061874,UNNAMED,27,1874,9
AL071874,UNNAMED,20,1874,10
AL011875,UNNAMED,16,1875,8
AL021875,UNNAMED,40,1875,9
AL031875,UNNAMED,45,1875,9
AL041875,UNNAMED,18,1875,9
AL051875,UNNAMED,16,1875,10
AL061875,UNNAMED,20,1875,10
AL011876,UNNAMED,12,1876,9
AL021876,UNNAMED,33,1876,9
AL031876,UNNAMED,12,1876,9
AL041876,UNNAMED,26,1876,9
AL051876,UNNAMED,49,1876,10
AL011877,UNNAMED,18,1877,8
AL021877,UNNAMED,34,1877,9
AL031877,UNNAMED,28,1877,9
AL041877,UNNAMED,61,1877,9
AL051877,UNNAMED,24,1877,9
AL061877,UNNAMED,24,1877,10
AL071877,UNNAMED,19,1877,10
AL081877,UNNAMED,12,1877,11
AL011878,UNNAMED,13,1878,7
AL021878,UNNAMED,45,1878,8
AL031878,UNNAMED,12,1878,8
AL041878,UNNAMED,24,1878,8
AL051878,UNNAMED,55,1878,9
AL061878,UNNAMED,28,1878,9
AL071878,UNNAMED,60,1878,9
AL081878,UNNAMED,29,1878,10
AL091878,UNNAMED,32,1878,10
AL101878,UNNAMED,28,1878,10
AL111878,UNNAMED,33,1878,10
AL121878,UNNAMED,32,1878,11
AL011879,UNNAMED,16,1879,8
AL021879,UNNAMED,32,1879,8
AL031879,UNNAMED,25,1879,8
AL041879,UNNAMED,21,1879,8
AL051879,UNNAMED,21,1879,10
AL061879,UNNAMED,33,1879,10
AL071879,UNNAMED,25,1879,10
AL081879,UNNAMED,16,1879,11
AL011880,UNNAMED,19,1880,6
AL021880,UNNAMED,45,1880,8
AL031880,UNNAMED,24,1880,8
AL041880,UNNAMED,37,1880,8
AL051880,UNNAMED,40,1880,8
AL061880,UNNAMED,26,1880,9
AL071880,UNNAMED,12,1880,9
AL081880,UNNAMED,32,1880,9
AL091880,UNNAMED,25,1880,10
AL101880,UNNAMED,28,1880,10
AL111880,UNNAMED,20,1880,10
AL011881,UNNAMED,15,1881,8
AL031881,UNNAMED,32,1881,8
AL021881,UNNAMED,15,1881,8
AL041881,UNNAMED,24,1881,8
AL051881,UNNAMED,37,1881,8
AL061881,UNNAMED,21,1881,9
AL071881,UNNAMED,28,1881,9
AL011882,UNNAMED,5,1882,8
AL021882,UNNAMED,47,1882,9
AL031882,UNNAMED,10,1882,9
AL041882,UNNAMED,16,1882,9
AL051882,UNNAMED,20,1882,9
AL061882,UNNAMED,45,1882,10
AL011883,UNNAMED,44,1883,8
AL021883,UNNAMED,40,1883,8
AL031883,UNNAMED,39,1883,9
AL041883,UNNAMED,28,1883,10
AL011884,UNNAMED,24,1884,9
AL021884,UNNAMED,56,1884,9
AL031884,UNNAMED,45,1884,9
AL041884,UNNAMED,44,1884,10
AL011885,UNNAMED,36,1885,8
AL021885,UNNAMED,32,1885,8
AL031885,UNNAMED,13,1885,8
AL041885,UNNAMED,29,1885,9
AL051885,UNNAMED,16,1885,9
AL061885,UNNAMED,37,1885,9
AL071885,UNNAMED,16,1885,9
AL081885,UNNAMED,17,1885,10
AL011886,UNNAMED,12,1886,6
AL021886,UNNAMED,33,1886,6
AL031886,UNNAMED,23,1886,6
AL041886,UNNAMED,44,1886,7
AL051886,UNNAMED,40,1886,8
AL061886,UNNAMED,52,1886,8
AL071886,UNNAMED,22,1886,8
AL081886,UNNAMED,36,1886,9
